,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,target,to_Coupon,coupon_freq,occupation_class
11447,Home,Partner,Sunny,30,6PM,Restaurant(<20),1d,Male,31,Married partner,0,Bachelors degree,Sales & Related,$75000 - $87499,1~3,1~3,4~8,4~8,4~8,1,1,0,1,2,4~8,Medium_Low_Acceptance
10819,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Female,31,Single,0,Graduate degree (Masters or Doctorate),Legal,$75000 - $87499,gt8,4~8,4~8,4~8,4~8,0,0,1,0,0,4~8,Low_Acceptance
4717,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,21,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,less1,never,1~3,4~8,1~3,1,0,1,1,1,never,Medium_High_Acceptance
10432,No Urgent Place,Alone,Rainy,55,10AM,Coffee House,1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,4~8,gt8,gt8,4~8,1,0,0,1,1,4~8,Medium_Low_Acceptance
3603,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,26,Single,0,Bachelors degree,Retired,$87500 - $99999,never,less1,less1,1~3,less1,0,0,0,0,0,less1,Low_Acceptance
10274,No Urgent Place,Friend(s),Sunny,80,10PM,Coffee House,1d,Female,50plus,Single,1,Bachelors degree,Legal,$25000 - $37499,never,less1,4~8,1~3,less1,1,0,0,1,1,less1,Low_Acceptance
11804,No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,36,Married partner,1,Associates degree,Computer & Mathematical,$100000 or More,never,less1,4~8,1~3,less1,1,0,0,0,1,never,Medium_Acceptance
11159,Home,Alone,Sunny,80,6PM,Carry out & Take away,2h,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,less1,4~8,gt8,1~3,less1,1,0,1,1,1,gt8,Medium_Acceptance
4418,No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),2h,Female,36,Married partner,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,less1,never,4~8,4~8,never,0,0,0,0,0,never,Medium_Acceptance
9155,Work,Alone,Rainy,55,7AM,Carry out & Take away,2h,Male,below21,Single,0,Some college - no degree,Student,$25000 - $37499,never,never,less1,never,less1,1,0,1,0,1,less1,Medium_High_Acceptance
3935,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$25000 - $37499,less1,1~3,1~3,1~3,1~3,1,0,0,0,1,1~3,Medium_Acceptance
3034,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,less1,never,less1,less1,less1,0,0,0,0,0,never,Medium_High_Acceptance
5176,No Urgent Place,Alone,Sunny,80,2PM,Restaurant(<20),2h,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Education&Training&Library,$12500 - $24999,never,never,4~8,4~8,less1,1,0,0,0,1,4~8,Low_Acceptance
6337,Home,Alone,Sunny,80,10PM,Carry out & Take away,1d,Female,36,Divorced,1,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,never,gt8,gt8,gt8,1~3,0,0,1,1,0,gt8,Medium_High_Acceptance
5668,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,31,Single,1,Bachelors degree,Production Occupations,$37500 - $49999,less1,less1,4~8,1~3,less1,0,0,1,0,0,less1,Medium_High_Acceptance
2645,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Management,$100000 or More,4~8,never,4~8,4~8,1~3,0,0,0,1,0,4~8,Medium_Acceptance
2433,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,21,Unmarried partner,0,Bachelors degree,Management,$12500 - $24999,1~3,gt8,gt8,1~3,less1,1,0,0,1,1,gt8,Medium_Acceptance
2923,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,31,Divorced,1,High School Graduate,Business & Financial,$25000 - $37499,1~3,less1,1~3,less1,4~8,1,0,0,0,1,less1,Medium_Acceptance
10178,Home,Alone,Rainy,55,6PM,Bar,1d,Male,36,Married partner,1,Associates degree,Computer & Mathematical,$100000 or More,never,less1,4~8,1~3,less1,1,1,0,0,2,never,Medium_Acceptance
7753,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),2h,Male,21,Unmarried partner,0,Bachelors degree,Business & Financial,$62500 - $74999,4~8,1~3,4~8,1~3,less1,1,0,0,0,1,less1,Medium_Acceptance
12398,No Urgent Place,Friend(s),Snowy,30,2PM,Restaurant(<20),1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$37500 - $49999,less1,less1,1~3,1~3,1~3,0,0,0,0,0,1~3,Low_Acceptance
7441,No Urgent Place,Alone,Sunny,55,6PM,Coffee House,2h,Female,50plus,Married partner,1,Bachelors degree,Sales & Related,$50000 - $62499,4~8,4~8,1~3,1~3,less1,0,0,0,0,0,4~8,Medium_Low_Acceptance
1326,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,46,Single,1,Some college - no degree,Sales & Related,$37500 - $49999,never,less1,1~3,1~3,1~3,0,0,0,1,0,less1,Medium_Low_Acceptance
4824,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,31,Single,0,Bachelors degree,Community & Social Services,$50000 - $62499,4~8,1~3,1~3,1~3,less1,1,0,1,1,1,1~3,Low_Acceptance
6788,Home,Kid(s),Sunny,55,6PM,Restaurant(20-50),1d,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,less1,1,1,0,1,2,less1,Medium_Low_Acceptance
3578,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$50000 - $62499,gt8,1~3,1~3,4~8,less1,0,0,0,1,0,4~8,Low_Acceptance
6080,Home,Alone,Sunny,80,6PM,Restaurant(<20),2h,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Unemployed,Less than $12500,never,gt8,1~3,less1,less1,0,0,1,1,0,less1,Medium_Low_Acceptance
6216,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),2h,Female,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$62500 - $74999,less1,less1,1~3,1~3,less1,1,0,0,1,1,1~3,Low_Acceptance
3756,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,41,Married partner,1,Bachelors degree,Management,$62500 - $74999,1~3,4~8,4~8,4~8,1~3,0,0,0,1,0,4~8,Medium_Acceptance
4194,Work,Alone,Sunny,55,7AM,Coffee House,1d,Male,26,Single,0,Associates degree,Unemployed,Less than $12500,less1,never,1~3,less1,less1,1,0,0,0,1,never,Medium_Low_Acceptance
5079,Work,Alone,Sunny,80,7AM,Coffee House,2h,Male,36,Married partner,0,Some college - no degree,Healthcare Practitioners & Technical,$25000 - $37499,never,gt8,4~8,less1,less1,1,0,1,1,1,gt8,High_Acceptance
11830,No Urgent Place,Partner,Sunny,30,10AM,Restaurant(20-50),1d,Female,50plus,Widowed,1,Associates degree,Healthcare Support,$12500 - $24999,less1,less1,4~8,1~3,less1,0,0,0,0,0,less1,High_Acceptance
11506,Home,Alone,Sunny,80,6PM,Carry out & Take away,2h,Female,below21,Single,0,Bachelors degree,Student,$12500 - $24999,gt8,1~3,less1,4~8,gt8,1,0,1,1,1,less1,Medium_High_Acceptance
5728,Home,Alone,Sunny,55,10PM,Carry out & Take away,1d,Male,21,Single,0,Some college - no degree,Student,$100000 or More,less1,1~3,1~3,1~3,less1,1,1,0,1,2,1~3,Medium_High_Acceptance
731,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,41,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,never,never,4~8,1~3,less1,0,0,0,0,0,never,Medium_Low_Acceptance
1636,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$37500 - $49999,1~3,4~8,1~3,4~8,less1,1,0,0,1,1,4~8,Medium_Low_Acceptance
10359,Work,Alone,Snowy,30,7AM,Carry out & Take away,1d,Male,21,Single,1,Some college - no degree,Personal Care & Service,$25000 - $37499,1~3,4~8,less1,never,never,1,0,1,1,1,less1,Medium_Low_Acceptance
1730,No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,26,Married partner,0,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,less1,less1,gt8,1~3,0,0,0,0,0,never,Medium_Acceptance
11734,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,less1,gt8,4~8,never,0,0,1,0,0,never,Low_Acceptance
5567,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Transportation & Material Moving,$87500 - $99999,less1,less1,less1,1~3,less1,1,0,0,0,1,1~3,Medium_High_Acceptance
12602,Home,Alone,Snowy,30,10PM,Coffee House,2h,Female,50plus,Divorced,1,Some college - no degree,Personal Care & Service,$12500 - $24999,never,less1,1~3,1~3,less1,1,0,0,0,1,less1,Medium_Low_Acceptance
340,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,21,Unmarried partner,0,Associates degree,Student,$75000 - $87499,never,less1,1~3,1~3,less1,0,0,1,1,0,1~3,Medium_High_Acceptance
5123,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,never,never,gt8,less1,1,1,0,1,2,never,Medium_High_Acceptance
4297,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,21,Unmarried partner,0,Bachelors degree,Education&Training&Library,$12500 - $24999,1~3,4~8,4~8,4~8,never,1,1,0,0,2,4~8,Low_Acceptance
11018,No Urgent Place,Friend(s),Snowy,30,2PM,Restaurant(<20),1d,Female,26,Single,0,Bachelors degree,Unemployed,$25000 - $37499,1~3,never,1~3,4~8,1~3,0,0,0,1,0,4~8,Medium_Low_Acceptance
11456,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,41,Married partner,1,Some college - no degree,Education&Training&Library,$100000 or More,never,gt8,gt8,gt8,4~8,0,0,0,1,0,gt8,Low_Acceptance
9362,No Urgent Place,Friend(s),Sunny,30,10PM,Carry out & Take away,1d,Male,below21,Single,0,Some college - no degree,Student,$37500 - $49999,never,never,never,less1,less1,1,0,0,1,1,never,Medium_High_Acceptance
6124,No Urgent Place,Partner,Sunny,80,6PM,Bar,2h,Male,26,Married partner,0,Bachelors degree,Computer & Mathematical,$75000 - $87499,1~3,never,1~3,1~3,less1,1,0,0,0,1,1~3,Medium_Acceptance
6697,Home,Alone,Sunny,55,6PM,Coffee House,1d,Male,21,Single,0,High School Graduate,Unemployed,Less than $12500,4~8,gt8,less1,1~3,never,1,0,1,1,1,gt8,Medium_Low_Acceptance
12376,No Urgent Place,Alone,Rainy,55,2PM,Carry out & Take away,2h,Male,26,Single,0,Bachelors degree,Unemployed,$12500 - $24999,1~3,less1,4~8,1~3,less1,0,0,0,1,0,4~8,Medium_Low_Acceptance
6668,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Student,$37500 - $49999,less1,1~3,4~8,1~3,less1,0,0,0,1,0,1~3,Medium_High_Acceptance
4772,No Urgent Place,Partner,Sunny,80,2PM,Coffee House,2h,Male,50plus,Married partner,1,Associates degree,Unemployed,$37500 - $49999,less1,less1,less1,4~8,less1,0,0,0,1,0,less1,Medium_Low_Acceptance
9870,Home,Alone,Snowy,30,10PM,Restaurant(<20),2h,Male,36,Single,0,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,never,less1,less1,less1,1,1,0,1,2,less1,Medium_High_Acceptance
9683,Work,Alone,Rainy,55,7AM,Bar,1d,Male,21,Single,1,Some college - no degree,Student,$62500 - $74999,never,never,4~8,1~3,1~3,1,1,0,0,2,never,Medium_High_Acceptance
5768,No Urgent Place,Alone,Sunny,80,2PM,Restaurant(<20),2h,Female,41,Single,1,Associates degree,Sales & Related,$25000 - $37499,less1,less1,4~8,4~8,1~3,1,0,0,1,1,4~8,Medium_Low_Acceptance
9346,Home,Alone,Sunny,30,6PM,Restaurant(20-50),1d,Female,50plus,Single,1,Associates degree,Retired,Less than $12500,never,never,less1,never,never,0,0,1,0,0,never,Low_Acceptance
3514,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,21,Unmarried partner,0,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,less1,4~8,1~3,1~3,less1,0,0,0,1,0,1~3,Medium_High_Acceptance
933,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,1~3,4~8,4~8,4~8,4~8,1,0,0,1,1,4~8,Medium_Acceptance
481,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,26,Single,0,Some college - no degree,Unemployed,$87500 - $99999,never,1~3,4~8,less1,never,0,0,0,1,0,1~3,Medium_Low_Acceptance
5197,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,1d,Female,50plus,Unmarried partner,1,Some college - no degree,Management,$37500 - $49999,never,never,4~8,1~3,less1,0,0,0,0,0,never,Medium_Acceptance
5884,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,never,never,4~8,gt8,4~8,0,0,1,0,0,never,Medium_Acceptance
6695,No Urgent Place,Friend(s),Rainy,55,6PM,Restaurant(<20),2h,Male,21,Single,0,High School Graduate,Unemployed,Less than $12500,4~8,gt8,less1,1~3,never,0,0,0,1,0,1~3,Medium_Low_Acceptance
3510,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,41,Divorced,1,Some college - no degree,Protective Service,$25000 - $37499,less1,less1,4~8,1~3,less1,1,0,0,0,1,less1,High_Acceptance
4407,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Female,21,Single,0,Bachelors degree,Life Physical Social Science,$37500 - $49999,less1,never,less1,1~3,never,1,0,0,0,1,never,Medium_Acceptance
4245,Home,Alone,Sunny,55,6PM,Restaurant(20-50),2h,Male,21,Single,0,Bachelors degree,Student,$100000 or More,1~3,4~8,1~3,4~8,1~3,1,0,0,0,1,1~3,Medium_High_Acceptance
1258,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Single,0,Graduate degree (Masters or Doctorate),Sales & Related,$12500 - $24999,less1,4~8,4~8,1~3,never,1,0,0,0,1,4~8,Medium_Low_Acceptance
12397,No Urgent Place,Friend(s),Sunny,30,10AM,Carry out & Take away,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$37500 - $49999,less1,less1,1~3,1~3,1~3,0,0,0,0,0,1~3,Low_Acceptance
11809,No Urgent Place,Alone,Sunny,80,10AM,Restaurant(<20),2h,Male,36,Married partner,1,Associates degree,Computer & Mathematical,$100000 or More,never,less1,4~8,1~3,less1,0,0,0,0,0,1~3,Medium_Acceptance
6848,No Urgent Place,Friend(s),Sunny,30,10PM,Coffee House,1d,Female,46,Married partner,1,Some High School,Unemployed,$12500 - $24999,never,never,less1,less1,never,0,0,0,0,0,never,Medium_Low_Acceptance
1737,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Married partner,0,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,less1,less1,gt8,1~3,1,1,0,0,2,less1,Medium_Acceptance
7017,Work,Alone,Snowy,30,7AM,Restaurant(20-50),1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$12500 - $24999,never,1~3,less1,1~3,1~3,1,1,0,0,2,1~3,Low_Acceptance
7734,No Urgent Place,Friend(s),Rainy,55,10PM,Bar,2h,Male,21,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,less1,never,1~3,4~8,1~3,1,0,0,1,1,less1,Medium_Low_Acceptance
12114,No Urgent Place,Alone,Sunny,80,10AM,Restaurant(<20),2h,Female,36,Married partner,0,Bachelors degree,Unemployed,$25000 - $37499,less1,1~3,4~8,4~8,4~8,0,0,0,1,0,4~8,Medium_Low_Acceptance
12098,Home,Alone,Rainy,55,10PM,Coffee House,2h,Female,21,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$25000 - $37499,never,never,1~3,never,never,0,0,1,1,0,never,Medium_High_Acceptance
8986,No Urgent Place,Kid(s),Sunny,80,10PM,Restaurant(20-50),1d,Female,46,Married partner,1,High School Graduate,Transportation & Material Moving,$37500 - $49999,less1,less1,1~3,1~3,never,1,0,0,0,1,never,Medium_High_Acceptance
1649,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$37500 - $49999,1~3,4~8,1~3,4~8,less1,1,1,0,1,2,4~8,Medium_Low_Acceptance
8881,Home,Alone,Rainy,55,6PM,Bar,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Healthcare Support,$37500 - $49999,4~8,1~3,4~8,1~3,less1,1,1,0,1,2,4~8,High_Acceptance
8900,Home,Alone,Rainy,55,6PM,Bar,1d,Male,26,Unmarried partner,0,Associates degree,Management,$12500 - $24999,less1,less1,4~8,1~3,less1,1,1,0,1,2,less1,Medium_Acceptance
5818,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,31,Married partner,1,Bachelors degree,Architecture & Engineering,$87500 - $99999,less1,less1,4~8,less1,less1,0,0,1,1,0,less1,High_Acceptance
12240,No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,50plus,Married partner,1,Some college - no degree,Business & Financial,$100000 or More,less1,1~3,4~8,1~3,1~3,1,0,0,1,1,less1,Medium_Acceptance
9189,No Urgent Place,Alone,Rainy,55,10AM,Coffee House,1d,Male,21,Single,0,Bachelors degree,Legal,$87500 - $99999,1~3,never,less1,less1,less1,1,0,0,0,1,never,Low_Acceptance
3996,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,36,Single,0,Bachelors degree,Business & Financial,$100000 or More,less1,1~3,gt8,gt8,1~3,0,0,0,1,0,gt8,Medium_Acceptance
1849,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,41,Single,0,High School Graduate,Installation Maintenance & Repair,$12500 - $24999,less1,1~3,1~3,less1,never,1,0,0,0,1,never,Medium_Low_Acceptance
6235,Work,Alone,Sunny,55,7AM,Coffee House,1d,Female,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$62500 - $74999,less1,less1,1~3,1~3,less1,1,0,0,0,1,less1,Low_Acceptance
9479,Home,Alone,Sunny,80,6PM,Restaurant(<20),1d,Male,31,Married partner,1,High School Graduate,Computer & Mathematical,$87500 - $99999,never,1~3,less1,4~8,less1,0,0,1,1,0,4~8,Medium_Acceptance
3063,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,less1,gt8,4~8,gt8,less1,0,0,0,0,0,gt8,Medium_Acceptance
10159,Work,Alone,Sunny,30,7AM,Carry out & Take away,1d,Male,31,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,never,1~3,1~3,1~3,1,0,0,1,1,1~3,High_Acceptance
4627,Work,Alone,Sunny,80,7AM,Coffee House,2h,Male,21,Single,1,Bachelors degree,Student,$25000 - $37499,4~8,4~8,4~8,1~3,never,1,0,1,0,1,4~8,Medium_High_Acceptance
5078,Work,Alone,Sunny,80,7AM,Coffee House,2h,Male,36,Married partner,0,Some college - no degree,Healthcare Practitioners & Technical,$25000 - $37499,never,gt8,4~8,less1,less1,0,0,1,1,0,gt8,High_Acceptance
5540,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,50plus,Single,0,High School Graduate,Management,$37500 - $49999,less1,less1,less1,less1,1~3,1,1,0,0,2,less1,Medium_Acceptance
12167,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,31,Single,0,Associates degree,Arts Design Entertainment Sports & Media,$75000 - $87499,never,less1,gt8,1~3,less1,0,0,0,0,0,less1,Low_Acceptance
3045,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,less1,never,less1,less1,less1,0,0,1,1,0,less1,Medium_High_Acceptance
7943,Work,Alone,Rainy,55,7AM,Restaurant(<20),2h,Female,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,never,less1,1~3,gt8,gt8,1,1,0,1,2,gt8,High_Acceptance
2900,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Some college - no degree,Computer & Mathematical,$25000 - $37499,less1,1~3,1~3,1~3,less1,1,0,0,1,1,1~3,Medium_Acceptance
9139,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),1d,Male,below21,Single,0,Some college - no degree,Student,$25000 - $37499,never,never,less1,never,less1,1,0,0,0,1,less1,Medium_High_Acceptance
3291,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,0,0,1,1,0,1~3,Medium_Acceptance
8644,Home,Alone,Sunny,80,6PM,Bar,2h,Female,26,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,1~3,less1,1~3,less1,less1,0,0,1,1,0,1~3,Medium_Low_Acceptance
12619,No Urgent Place,Partner,Sunny,30,10AM,Restaurant(20-50),1d,Female,21,Unmarried partner,0,Bachelors degree,Unemployed,$37500 - $49999,never,4~8,1~3,1~3,less1,0,0,0,0,0,less1,Medium_Low_Acceptance
1532,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,36,Married partner,1,Some college - no degree,Construction & Extraction,$12500 - $24999,never,1~3,1~3,less1,less1,1,0,0,0,1,never,High_Acceptance
8418,No Urgent Place,Partner,Rainy,55,10AM,Carry out & Take away,2h,Male,26,Single,0,Bachelors degree,Food Preparation & Serving Related,$50000 - $62499,4~8,1~3,4~8,1~3,4~8,0,0,0,1,0,4~8,Medium_Acceptance
6442,Home,Alone,Sunny,80,10PM,Carry out & Take away,1d,Female,26,Single,1,Some college - no degree,Office & Administrative Support,$37500 - $49999,1~3,never,1~3,1~3,1~3,0,0,1,1,0,1~3,Medium_High_Acceptance
11938,No Urgent Place,Alone,Sunny,80,10AM,Restaurant(<20),2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1,0,0,0,1,0,4~8,Medium_Acceptance
747,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,1~3,1~3,4~8,4~8,1~3,1,0,0,1,1,1~3,High_Acceptance
10147,No Urgent Place,Partner,Sunny,80,2PM,Restaurant(20-50),1d,Male,31,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,never,1~3,1~3,1~3,0,0,0,1,0,1~3,High_Acceptance
50,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,0,0,0,1,4~8,Medium_High_Acceptance
5617,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,26,Single,0,Associates degree,Management,$37500 - $49999,4~8,1~3,4~8,1~3,less1,0,0,0,1,0,1~3,Medium_Acceptance
7237,Work,Alone,Snowy,30,7AM,Restaurant(20-50),1d,Male,36,Unmarried partner,1,Associates degree,Unemployed,$25000 - $37499,never,never,1~3,less1,never,1,1,0,0,2,never,Medium_Low_Acceptance
2968,No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Male,31,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,never,less1,4~8,less1,less1,1,0,0,1,1,4~8,Medium_Acceptance
10066,Home,Alone,Sunny,80,6PM,Restaurant(<20),1d,Female,50plus,Single,1,Some college - no degree,Unemployed,Less than $12500,never,1~3,less1,1~3,less1,0,0,1,1,0,1~3,Medium_Low_Acceptance
12651,Home,Kid(s),Sunny,55,10PM,Restaurant(20-50),2h,Male,31,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,less1,never,4~8,gt8,less1,1,0,0,0,1,less1,Medium_Acceptance
7632,No Urgent Place,Partner,Snowy,30,2PM,Coffee House,2h,Male,50plus,Unmarried partner,1,Associates degree,Transportation & Material Moving,$50000 - $62499,never,1~3,4~8,4~8,1~3,1,0,0,1,1,1~3,Medium_High_Acceptance
7270,No Urgent Place,Partner,Sunny,30,10AM,Bar,1d,Female,26,Married partner,0,Associates degree,Unemployed,$37500 - $49999,less1,1~3,1~3,1~3,1~3,1,0,0,0,1,less1,Medium_Low_Acceptance
11979,No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Female,21,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,never,less1,1~3,1~3,less1,1,0,0,0,1,never,Medium_Low_Acceptance
12521,Work,Alone,Snowy,30,7AM,Coffee House,1d,Male,26,Single,1,Some college - no degree,Sales & Related,Less than $12500,never,never,never,1~3,never,0,0,1,0,0,never,Medium_Low_Acceptance
12442,No Urgent Place,Friend(s),Snowy,30,2PM,Restaurant(<20),1d,Female,50plus,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,never,less1,1~3,1~3,1~3,0,0,0,1,0,1~3,Medium_Low_Acceptance
389,No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,21,Single,0,Bachelors degree,Student,$100000 or More,1~3,never,1~3,1~3,4~8,0,0,0,1,0,1~3,Medium_High_Acceptance
12450,Home,Alone,Sunny,30,6PM,Carry out & Take away,1d,Female,50plus,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,never,less1,1~3,1~3,1~3,0,0,0,1,0,1~3,Medium_Low_Acceptance
7029,No Urgent Place,Friend(s),Snowy,30,10PM,Carry out & Take away,1d,Female,50plus,Divorced,1,Bachelors degree,Retired,Less than $12500,never,4~8,gt8,gt8,less1,1,0,0,1,1,gt8,Low_Acceptance
3939,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$25000 - $37499,less1,1~3,1~3,1~3,1~3,1,0,0,0,1,1~3,Medium_Acceptance
1757,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,26,Single,0,Bachelors degree,Education&Training&Library,$25000 - $37499,never,1~3,less1,1~3,less1,1,0,0,1,1,less1,Low_Acceptance
5747,No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,1d,Male,26,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,1~3,1,0,0,0,1,1~3,Medium_Acceptance
11446,Home,Alone,Sunny,80,6PM,Restaurant(20-50),1d,Male,31,Married partner,0,Bachelors degree,Sales & Related,$75000 - $87499,1~3,1~3,4~8,4~8,4~8,0,0,1,1,0,4~8,Medium_Low_Acceptance
6765,Home,Partner,Rainy,55,10PM,Bar,1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,1~3,1,0,0,0,1,less1,Low_Acceptance
